ID_FOR;FANTASIA;CNPJ;RESPONSAVEL;INS_MUNICIPAL;INS_ESTADUAL;ENDERECO;BAIRRO;UF;TELEFONE;FAX;EMAIL;CELULAR
226;CITEC PREMOLDADOS E MATERIAIS DE CONSTRUÇAO LTDA;08157959000147;;;;RUA EULINA LIMA DOS D=SANTOS - 30;OLARIO - ARACAJU;SE;;;;
171;MATEUS FLORES E COMPANHIA;08271351000149;;;271166550;RUA 51, ;EDUARDO GOMES;SE;;;;
219;SOARES E SOARES FLORES E DECORAÇOES;08289907000124;;;;AV. ANISIO AZEVEDO, 378. ARACAJU;TREE DE JULHO;;;;;
290;INCOMEX IND COM DE CON. E SERV. LTDA;08314180000198;;;271179333;rua recife ;jose conr araujo;SE;;;;
113;RURAL MAQUINAS LTDA;08321073000197;;;271188480;CHANCELER OSVALDO ARANHA, ARACAJU;;SE;;7932525163;;
247;SAMIRES TRINDADE DE ALMEIDA MICROEMPRESA -ME;08338005000130;;;271193441;RUA BENICIO FREIRE, 11 ITABAIANINHA;CENTRO;SE;;;;
97;SERBA COMERCIO DE ALIMENTOS LTDA;08463296000199;FATIMA;;;RUA FILOMENO FRANCO FREIRE,324;PONTO NOVO;SE;7932170252;;;
216;SULPECAS-PECAS TRATORES E CAMINH. LTDA ME;08543668000197;;;;RUA ESTANCIA, 152;BR 101 UMBAUBA;SE;;;;
99;M. & D ESQUADRIAS DE FERRO ALUM. LTDA;08630300000166;;;271191040;AV. JOSE CARLOS MACHADO 1150;CENTRO ;SE;7936451451;;;
145;ANGRA AUTO PEÇAS LTDA;08647238000115;;;27.119.112-0;RUA MARIANO SALMERON  Nº;SIQUEIRA CAMPOS;SE;7932114741;;;
94;LUCIANO FLORO OLIVEIRA;08675461000176;;;271192992;AV. CHANC. OSV. ARANHA;N. PARAISO;SE;7932411260;;;
255;TOTOK BORDADOS E UNIFORMES;08794531000105;;;;AV. PRESIDENTE VARGAS, 445;PRATAS;SE;;;;
293;SHOPPING ESCOLAR LTDA- ME;09275315000116;;;271213027;AV. GETULIO VARGAS;CENTRO;;;;;
129;MERCEARIA SENHOR DO BOMFIM;09360438000155;;;27.121.854-1;RUA JOÃO MACEDO Nº 212 CASA;CENTRO;SE;;;;
